Referência,Versão,Pré-determinado,Tipo,EAN13,Família,Catálogo,"Tarifa Nacional",Garantia,"Etiqueta V/F","Folha de Dados",Descrição,masterfile.tender_text,masterfile.codi_duaner,Material,Acabado,Largo,Amplitude,Altura,Projeção,"Fonte de Luz","Incluir lâmpada","Eficiência energética","Unidades Masterbox","Produto descatalogado","Lançamento de produto","Peso embalado (kg)","Weight master box","Peso líquido (kg)","Unidade de Volume (m3)","Volume Master box (m3)","Length Box 1","Largura da caixa 1","Altura da caixa 1","Length Box 2","Largura da caixa 2","Altura da caixa 2","Length Box 3","Largura da caixa 3","Altura da caixa 3","Length MB 1","Amplitude MB 1","Altura MB 1","Length MB 2","Amplitude MB 2","Altura MB 2","Length MB 3","Amplitude MB 3","Altura MB 3","Watts (W)","Lúmens (lm)","Real Lumens (lm)","Temperatura de cor do LED (K)",CRI,"Facho de Luz","Regulação de Tipo",IP,IK,"Imagem Web","Imagem de ambiente 1","Imagem de ambiente 2","Imagem de ambiente 3","Imagem de detalhe 1","Imagem de detalhe 2",IMC,EE,Fotometria,masterfile.ploma_comercial,Acessórios,3D,masterfile.ies,masterfile.ldt,"Codi Quênia","Codi RETILAP","Codi Marrocos","Código do País 4","Código do País 5","Código do País 6",Modelo
AG16-P7W9M2OU14,V0,Sim,"Encastrados de teto",8435629777736,"Play IP65 Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/AG16-P7W9M2OU14.html,"ENCASTRADOS DE TETO PLAY IP65 ROUND FIXED LED 8.5W 3000K CRI 92 27.8º ON-OFF BR","LedsC4 Play IP65 Round Fixed AG16-P7W9M2OU14  Encastrados de teto de uso interior para iluminar para baixo.  Material da estrutura: Alumínio. Acabamento estrutura: Branco. Material do difusor: Vidro. Acabamento difusor: Transparente. Garantia: 2 Anos.  Peso líquido do produto (kg): 0.29 Largura ou diâmetro do produto (mm): 93 Altura do produto (mm): 81 Ø do orifício de encastrar (mm): 65 Espessura de teto adequada: 0-20  Classe 2. Luminária não adequada para ser revestida com materiais de isolamento. Teste de fio incandescente: 850. IP: IN IP20 / OUT IP65. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Marca do Driver: VOSSLOH-SCHWABE. Potência máxima da fonte de luz: 6.4W. Temperatura de cor: 3000K. Índice de reprodução cromática: 92. Steps Mac Adam: 2. Horas de vida útil: 50.000h L80B20. UGR: 16.7. Risco fotobiológico: RG1. Fluxo real (lm): 692. Lm/W reais: 81. Intervalo de tensão / frequência: 100-240/50-60Hz. Tensão: 9. Equipamento incluído: Sim. Potência total: 8.5. Fator de potência: 0.90. Equipamento regulável incluído: ON-OFF.",9405119090,"Alumínio, Vidro","Branco, Transparente",,93,81,,,Sim,F,16,"Descatalogado PT",2021,"0,38","6,08","0,29","0,002","0,032",130,95,110,,,,,,,,,,,,,,,,"8,5",,692,3000K,92,MEDIUM,ON-OFF,"IN IP20 / OUT IP65",,https://files.ledsc4.com/main-photo/AG16-P7W9M2OU14,,,,,,https://files.ledsc4.com/imc/AG16-P7W9M2OU14.html,https://files.ledsc4.com/el/AG16-P7W9M2OU14.html,https://files.ledsc4.com/fm/AG16-P7W9M2OU14.html,,https://files.ledsc4.com/ft3/pt/AG16-P7W9M2OU14.html,https://files.ledsc4.com/3d/AG16-P7W9M2OU14.html,https://files.ledsc4.com/ies/AG16-P7W9M2OU14.html,https://files.ledsc4.com/ldt/AG16-P7W9M2OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play IP65 Round Fixed"
AG11-P7V9M2OU14,V0,Sim,"Encastrados de teto",8435629765054,"Play Flat Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/AG11-P7V9M2OU14.html,"ENCASTRADOS DE TETO PLAY FLAT ROUND FIXED LED 8.5W 2700K CRI 92 27.8º ON-OFF BR","LedsC4 Play Flat Round Fixed AG11-P7V9M2OU14  Encastrados de teto para iluminar para baixo.  Material da estrutura: Alumínio. Acabamento estrutura: Branco. Material do difusor: PMMA. Acabamento difusor: Transparente. Garantia: 2 Anos.  Peso líquido do produto (kg): 0.18 Largura ou diâmetro do produto (mm): 65 Altura do produto (mm): 67 Ø do orifício de encastrar (mm): 58 Espessura de teto adequada: 0-13  Classe 2. Luminária não adequada para ser revestida com materiais de isolamento. Teste de fio incandescente: 850. IP: IN IP20 / OUT IP54. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Marca do Driver: VOSSLOH-SCHWABE. Potência máxima da fonte de luz: 6.4W. Temperatura de cor: 2700K. Índice de reprodução cromática: 92. Steps Mac Adam: 2. Horas de vida útil: 50.000h L80B20. UGR: 16.3. Risco fotobiológico: RG1. Fluxo real (lm): 640. Lm/W reais: 75. Intervalo de tensão / frequência: 100-240/50-60Hz. Tensão: 9. Equipamento incluído: Sim. Potência total: 8.5. Fator de potência: 0.90. Equipamento regulável incluído: ON-OFF.",9405119090,"Alumínio, PMMA","Branco, Transparente",,65,67,,,Sim,F,16,"Descatalogado PT",2021,"0,25",4,"0,18","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"8,5",,640,2700K,92,MEDIUM,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG11-P7V9M2OU14,,,,,,https://files.ledsc4.com/imc/AG11-P7V9M2OU14.html,https://files.ledsc4.com/el/AG11-P7V9M2OU14.html,https://files.ledsc4.com/fm/AG11-P7V9M2OU14.html,,https://files.ledsc4.com/ft3/pt/AG11-P7V9M2OU14.html,https://files.ledsc4.com/3d/AG11-P7V9M2OU14.html,https://files.ledsc4.com/ies/AG11-P7V9M2OU14.html,https://files.ledsc4.com/ldt/AG11-P7V9M2OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play Flat Round Fixed"
AG12-P7V9M2OU14,V0,Sim,"Encastrados de teto",8435629767898,"Play Flat Round Adjustable",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/AG12-P7V9M2OU14.html,"ENCASTRADOS DE TETO PLAY FLAT ROUND ADJUSTABLE LED 8.5W 2700K CRI 92 27.7º ON-O","LedsC4 Play Flat Round Adjustable AG12-P7V9M2OU14  Encastrados de teto para iluminar para baixo.  Fonte de luz orientável. Material da estrutura: Alumínio. Acabamento estrutura: Branco. Material do difusor: PMMA. Acabamento difusor: Transparente. Garantia: 2 Anos.  Peso líquido do produto (kg): 0.22 Largura ou diâmetro do produto (mm): 78 Altura do produto (mm): 71 Ø do orifício de encastrar (mm): 68 Espessura de teto adequada: 0-15  Classe 2. Luminária não adequada para ser revestida com materiais de isolamento. Teste de fio incandescente: 850. IP: IN IP20 / OUT IP54. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Marca do Driver: VOSSLOH-SCHWABE. Potência máxima da fonte de luz: 6.4W. Temperatura de cor: 2700K. Índice de reprodução cromática: 92. Steps Mac Adam: 2. Horas de vida útil: 50.000h L80B20. UGR: 16.5. Risco fotobiológico: RG1. Fluxo real (lm): 635. Lm/W reais: 75. Intervalo de tensão / frequência: 100-240/50-60Hz. Tensão: 9. Equipamento incluído: Sim. Potência total: 8.5. Fator de potência: 0.90. Equipamento regulável incluído: ON-OFF.",9405119090,"Alumínio, PMMA","Branco, Transparente",,78,71,,,Sim,F,16,"Descatalogado PT",2021,"0,28","4,48","0,22","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"8,5",,635,2700K,92,MEDIUM,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG12-P7V9M2OU14,,,,,,https://files.ledsc4.com/imc/AG12-P7V9M2OU14.html,https://files.ledsc4.com/el/AG12-P7V9M2OU14.html,https://files.ledsc4.com/fm/AG12-P7V9M2OU14.html,,https://files.ledsc4.com/ft3/pt/AG12-P7V9M2OU14.html,https://files.ledsc4.com/3d/AG12-P7V9M2OU14.html,https://files.ledsc4.com/ies/AG12-P7V9M2OU14.html,https://files.ledsc4.com/ldt/AG12-P7V9M2OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play Flat Round Adjustable"
AG24-P7V9F1OUWP,V0,Sim,"Encastrados de teto",8435629798137,"Play Deco Symmetrical Round Fixed Trimless",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/AG24-P7V9F1OUWP.html,"ENCASTRADOS DE TETO PLAY DECO SYMMETRICAL ROUND FIXED TRIMLESS LED 8.5W 2700K CR","LedsC4 Play Deco Symmetrical Round Fixed Trimless AG24-P7V9F1OUWP  Encastrados de teto para iluminar para baixo.  Material da estrutura: Policarbonato, Alumínio. Acabamento estrutura: Trimless/Branco. Material do difusor: PMMA. Acabamento difusor: Transparente. Garantia: 2 Anos.  Peso líquido do produto (kg): 0.23 Comprimento do produto (mm): 127 Altura do produto (mm): 95 Ø do orifício de encastrar (mm): 75 Espessura de teto adequada: 0-15  Classe 2. Luminária não adequada para ser revestida com materiais de isolamento. Teste de fio incandescente: 850. IP: IN IP20 / OUT IP54. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Marca do Driver: VOSSLOH-SCHWABE. Potência máxima da fonte de luz: 6.4W. Temperatura de cor: 2700K. Índice de reprodução cromática: 92. Steps Mac Adam: 2. Horas de vida útil: 50.000h L80B20. UGR: 15.4. Risco fotobiológico: RG1. Fluxo real (lm): 618. Lm/W reais: 73. Intervalo de tensão / frequência: 100-240/50-60Hz. Tensão: 9. Equipamento incluído: Sim. Potência total: 8.5. Fator de potência: 0.90. Equipamento regulável incluído: ON-OFF.",9405119090,"Policarbonato, Alumínio, PMMA","Trimless/Branco, Transparente",127,,95,,,Sim,F,16,"Descatalogado PT",2021,"0,3","4,8","0,23","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"8,5",,618,2700K,92,FLOOD,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG24-P7V9F1OUWP,,,,,,https://files.ledsc4.com/imc/AG24-P7V9F1OUWP.html,https://files.ledsc4.com/el/AG24-P7V9F1OUWP.html,https://files.ledsc4.com/fm/AG24-P7V9F1OUWP.html,,https://files.ledsc4.com/ft3/pt/AG24-P7V9F1OUWP.html,https://files.ledsc4.com/3d/AG24-P7V9F1OUWP.html,https://files.ledsc4.com/ies/AG24-P7V9F1OUWP.html,https://files.ledsc4.com/ldt/AG24-P7V9F1OUWP.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play Deco Symmetrical Round Fixed Trimless"
AG43-13W9F1OU14,V0,Sim,"Encastrados de teto",8445386042077,"Play IP65 Glass Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/AG43-13W9F1OU14.html,"ENCASTRADOS DE TETO PLAY IP65 GLASS ROUND FIXED LED 14.3W 3000K CRI 92 44.3º ON","LedsC4 Play IP65 Glass Round Fixed AG43-13W9F1OU14  Encastrados de teto para iluminar para baixo.  Material da estrutura: Alumínio. Acabamento estrutura: Branco. Material do difusor: Vidro. Acabamento difusor: Transparente. Garantia: 2 Anos.  Peso líquido do produto (kg): 0.32 Largura ou diâmetro do produto (mm): 92 Altura do produto (mm): 100 Ø do orifício de encastrar (mm): 68 Espessura de teto adequada: 0-20  Classe 2. Luminária não adequada para ser revestida com materiais de isolamento. Teste de fio incandescente: 850. IP: IN IP20 / OUT IP65. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Marca do Driver: VOSSLOH-SCHWABE. Potência máxima da fonte de luz: 11.9W. Temperatura de cor: 3000K. Índice de reprodução cromática: 92. Steps Mac Adam: 2. Horas de vida útil: 50.000h L80B20. UGR: 20.8. Risco fotobiológico: RG1. % de Flickering: &lt;5%. Fluxo real (lm): 1296. Lm/W reais: 91. Intervalo de tensão / frequência: 100-240/50-60Hz. Tensão: 36. Equipamento incluído: Sim. Potência total: 14.3. Fator de potência: 0.88. Equipamento regulável incluído: ON-OFF.",9405119090,"Alumínio, Vidro","Branco, Transparente",,92,100,,,Sim,F,16,"Descatalogado PT",2021,"0,38","6,08","0,32","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"14,3",,1296,3000K,92,FLOOD,ON-OFF,"IN IP20 / OUT IP65",,https://files.ledsc4.com/main-photo/AG43-13W9F1OU14,,,,,,https://files.ledsc4.com/imc/AG43-13W9F1OU14.html,https://files.ledsc4.com/el/AG43-13W9F1OU14.html,https://files.ledsc4.com/fm/AG43-13W9F1OU14.html,,https://files.ledsc4.com/ft3/pt/AG43-13W9F1OU14.html,https://files.ledsc4.com/3d/AG43-13W9F1OU14.html,https://files.ledsc4.com/ies/AG43-13W9F1OU14.html,https://files.ledsc4.com/ldt/AG43-13W9F1OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play IP65 Glass Round Fixed"
AG56-18W9S2OU14,V0,Sim,"Encastrados de teto",8445386061696,"Play Snoot Round Adjustable",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/AG56-18W9S2OU14.html,"ENCASTRADOS DE TETO PLAY SNOOT ROUND ADJUSTABLE LED 19.8W 3000K CRI 92 18.9º ON","LedsC4 Play Snoot Round Adjustable AG56-18W9S2OU14  Encastrados de teto para iluminar para baixo.  Fonte de luz orientável. Material da estrutura: Alumínio. Acabamento estrutura: Branco. Material do difusor: PMMA. Acabamento difusor: Transparente. Garantia: 2 Anos.  Peso líquido do produto (kg): 0.38 Largura ou diâmetro do produto (mm): 95 Altura do produto (mm): 120 Ø do orifício de encastrar (mm): 85 Espessura de teto adequada: 0-18  Classe 2. Luminária não adequada para ser revestida com materiais de isolamento. Teste de fio incandescente: 850. IP: IN IP20 / OUT IP54. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Marca do Driver: VOSSLOH-SCHWABE. Potência máxima da fonte de luz: 17.7W. Temperatura de cor: 3000K. Índice de reprodução cromática: 92. Steps Mac Adam: 2. Horas de vida útil: 50.000h L80B20. UGR: 15.4. Risco fotobiológico: RG1. % de Flickering: +/- 3%. Fluxo real (lm): 1572. Lm/W reais: 79. Intervalo de tensão / frequência: 100-240V/50-60Hz. Tensão: 36. Equipamento incluído: Sim. Potência total: 19.8. Fator de potência: 0.90. Equipamento regulável incluído: ON-OFF.",9405119090,"Alumínio, PMMA","Branco, Transparente",,95,120,,,Sim,F,16,"Descatalogado PT",2021,"0,44","7,04","0,38","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"19,8",,1572,3000K,92,SPOT+HONEYCOMB,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG56-18W9S2OU14,,,,,,https://files.ledsc4.com/imc/AG56-18W9S2OU14.html,https://files.ledsc4.com/el/AG56-18W9S2OU14.html,https://files.ledsc4.com/fm/AG56-18W9S2OU14.html,,https://files.ledsc4.com/ft3/pt/AG56-18W9S2OU14.html,https://files.ledsc4.com/3d/AG56-18W9S2OU14.html,https://files.ledsc4.com/ies/AG56-18W9S2OU14.html,https://files.ledsc4.com/ldt/AG56-18W9S2OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play Snoot Round Adjustable"
AG16-18W9S2DS14,V0,Sim,"Encastrados de teto",8435629776746,"Play IP65 Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/AG16-18W9S2DS14.html,"ENCASTRADOS DE TETO PLAY IP65 ROUND FIXED LED 19.8W 3000K CRI 92 19.1º DALI-2/P","LedsC4 Play IP65 Round Fixed AG16-18W9S2DS14  Encastrados de teto para iluminar para baixo.  Material da estrutura: Alumínio. Acabamento estrutura: Branco. Material do difusor: Vidro. Acabamento difusor: Transparente. Garantia: 2 Anos.  Peso líquido do produto (kg): 0.81 Largura ou diâmetro do produto (mm): 93 Altura do produto (mm): 120 Ø do orifício de encastrar (mm): 65 Espessura de teto adequada: 0-20  Classe 2. Luminária não adequada para ser revestida com materiais de isolamento. Teste de fio incandescente: 850. IP: IN IP20 / OUT IP65. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Marca do Driver: VOSSLOH-SCHWABE. Potência máxima da fonte de luz: 17.7W. Temperatura de cor: 3000K. Índice de reprodução cromática: 92. Steps Mac Adam: 2. Horas de vida útil: 50.000h L80B20. UGR: 19.9. Risco fotobiológico: RG1. % de Flickering: &lt;5%. Fluxo real (lm): 1548. Lm/W reais: 78. Intervalo de tensão / frequência: 100-240V/50-60Hz. Tensão: 36. Equipamento incluído: Sim. Potência total: 19.8. Fator de potência: 0.80. Equipamento regulável incluído: DALI-2/PUSH.",9405119090,"Alumínio, Vidro","Branco, Transparente",,93,120,,,Sim,F,16,"Descatalogado PT",2021,"0,87","13,92","0,81","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"19,8",,1548,3000K,92,SPOT+HONEYCOMB,DALI-2/PUSH,"IN IP20 / OUT IP65",,https://files.ledsc4.com/main-photo/AG16-18W9S2DS14,,,,,,https://files.ledsc4.com/imc/AG16-18W9S2DS14.html,https://files.ledsc4.com/el/AG16-18W9S2DS14.html,https://files.ledsc4.com/fm/AG16-18W9S2DS14.html,,https://files.ledsc4.com/ft3/pt/AG16-18W9S2DS14.html,https://files.ledsc4.com/3d/AG16-18W9S2DS14.html,https://files.ledsc4.com/ies/AG16-18W9S2DS14.html,https://files.ledsc4.com/ldt/AG16-18W9S2DS14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play IP65 Round Fixed"
DE-0024-NEG,V0,Sim,Suspenso,8435629748613,"Riba Ø350mm",Forlight,"106,9",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/DE-0024-NEG.html,"SUSPENSO RIBA Ø350MM E27 15W PRETO","LedsC4 Riba Ø350mm DE-0024-NEG  Suspenso para iluminar para baixo.  Material da estrutura: Aço. Acabamento estrutura: Preto. Material do difusor: Madeira. Acabamento difusor: Natural. Garantia: 5 Anos.  Peso líquido do produto (kg): 0.48 Largura ou diâmetro do produto (mm): 350 Altura do produto (mm): 1700  Classe 1. IP: IP20. Potência total: 15.",9405199090,"Aço, Madeira","Preto, Natural",,350,1700,,,Não,"NA EPREL",1,"Discontinuo PT",2021,"1,41","1,41","0,48","0,053","0,053",380,380,365,,,,,,,,,,,,,,,,15,,,,,,,IP20,,https://files.ledsc4.com/main-photo/DE-0024-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0024-NEG,https://files.ledsc4.com/ambience-photo/2/DE-0024-NEG,https://files.ledsc4.com/ambience-photo/3/DE-0024-NEG,https://files.ledsc4.com/detail-photo/1/DE-0024-NEG,https://files.ledsc4.com/detail-photo/2/DE-0024-NEG,https://files.ledsc4.com/imc/DE-0024-NEG.html,,,,,,,,,RETILAP-DECORATIVE,FX-INC-I,,,,
DE-0015-BLA,V0,Sim,"Série de holofotes",8445386076560,"Logos Double",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/pt/DE-0015-BLA.html,"SÉRIE DE HOLOFOTES LOGOS DOUBLE LED 3000K ON-OFF BRANCO 564LM","LedsC4 Logos Double DE-0015-BLA  Série de holofotes para iluminar para a frente e para baixo.  O módulo ótico pode facilmente girar 360º. Material da estrutura: Aço. Acabamento estrutura: Branco. Material do difusor: Policarbonato. Acabamento difusor: Prismatizado. Garantia: 2 Anos.  Peso líquido do produto (kg): 0.7 Comprimento do produto (mm): 365 Altura do produto (mm): 126 Saída do produto (mm): 156  Classe 1. IP: IP20. LED. N.º de casquilhos ou LED: 2. Potência máxima da fonte de luz: 3.7W. Temperatura de cor: 3000K. Índice de reprodução cromática: 80. Steps Mac Adam: 3. Horas de vida útil: 36.000h L70B30. UGR: 27.0. Risco fotobiológico: RG0. Fluxo real (lm): 564. Fluxo nominal (lm): 840. Lm/W reais: 67. Intervalo de tensão / frequência: 200-240/50-60Hz. Tensão: 9. Equipamento incluído: Sim. Potência total: 8.4. Fator de potência: 0.50. Equipamento regulável incluído: ON-OFF.",9405421000,"Aço, Policarbonato","Branco, Prismatizado",365,,126,156,"2xLED 3.7 840.00 lm",Sim,F,12,"Descatalogado PT",2021,"0,98","11,76","0,7","0,002","0,024",375,55,90,,,,,,,,,,,,,,,,"8,4","840,00",564,3000K,80,FLOOD,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0015-BLA,,,,https://files.ledsc4.com/detail-photo/1/DE-0015-BLA,https://files.ledsc4.com/detail-photo/2/DE-0015-BLA,https://files.ledsc4.com/imc/DE-0015-BLA.html,https://files.ledsc4.com/el/DE-0015-BLA.html,https://files.ledsc4.com/fm/DE-0015-BLA.html,,,,https://files.ledsc4.com/ies/DE-0015-BLA.html,https://files.ledsc4.com/ldt/DE-0015-BLA.html,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0016-BLA,V0,Sim,"Série de holofotes",8445386076584,"Logos Triple",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/pt/DE-0016-BLA.html,"SÉRIE DE HOLOFOTES LOGOS TRIPLE LED 3000K ON-OFF BRANCO 846LM","LedsC4 Logos Triple DE-0016-BLA  Série de holofotes para iluminar para a frente e para baixo.  O módulo ótico pode facilmente girar 360º. Material da estrutura: Aço. Acabamento estrutura: Branco. Material do difusor: Policarbonato. Acabamento difusor: Prismatizado. Garantia: 2 Anos.  Peso líquido do produto (kg): 1.05 Comprimento do produto (mm): 568 Altura do produto (mm): 126 Saída do produto (mm): 156  Classe 1. IP: IP20. LED. N.º de casquilhos ou LED: 3. Potência máxima da fonte de luz: 3.7W. Temperatura de cor: 3000K. Índice de reprodução cromática: 80. Steps Mac Adam: 3. Horas de vida útil: 36.000h L70B30. UGR: 27.0. Risco fotobiológico: RG0. Fluxo real (lm): 846. Fluxo nominal (lm): 1260. Lm/W reais: 67. Intervalo de tensão / frequência: 200-240/50-60Hz. Tensão: 9. Equipamento incluído: Sim. Potência total: 12.6. Fator de potência: 0.50. Equipamento regulável incluído: ON-OFF.",9405421000,"Aço, Policarbonato","Branco, Prismatizado",568,,126,156,"3xLED 3.7 1260.00 lm",Sim,F,12,"Descatalogado PT",2021,"1,33","15,96","1,05","0,004","0,048",575,65,90,,,,,,,,,,,,,,,,"12,6","1260,00",846,3000K,80,FLOOD,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0016-BLA,,,,,,https://files.ledsc4.com/imc/DE-0016-BLA.html,https://files.ledsc4.com/el/DE-0016-BLA.html,https://files.ledsc4.com/fm/DE-0016-BLA.html,,,,https://files.ledsc4.com/ies/DE-0016-BLA.html,https://files.ledsc4.com/ldt/DE-0016-BLA.html,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0015-NEG,V0,Sim,"Série de holofotes",8445386076577,"Logos Double",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/pt/DE-0015-NEG.html,"SÉRIE DE HOLOFOTES LOGOS DOUBLE LED 3000K ON-OFF PRETO 564LM","LedsC4 Logos Double DE-0015-NEG  Série de holofotes para iluminar para a frente e para baixo.  O módulo ótico pode facilmente girar 360º. Material da estrutura: Aço. Acabamento estrutura: Preto. Material do difusor: Policarbonato. Acabamento difusor: Prismatizado. Garantia: 2 Anos.  Peso líquido do produto (kg): 0.7 Comprimento do produto (mm): 365 Altura do produto (mm): 126 Saída do produto (mm): 156  Classe 1. IP: IP20. LED. N.º de casquilhos ou LED: 2. Potência máxima da fonte de luz: 3.7W. Temperatura de cor: 3000K. Índice de reprodução cromática: 80. Steps Mac Adam: 3. Horas de vida útil: 36.000h L70B30. UGR: 27.0. Risco fotobiológico: RG0. Fluxo real (lm): 564. Fluxo nominal (lm): 840. Lm/W reais: 67. Intervalo de tensão / frequência: 200-240/50-60Hz. Tensão: 9. Equipamento incluído: Sim. Potência total: 8.4. Fator de potência: 0.50. Equipamento regulável incluído: ON-OFF.",9405421000,"Aço, Policarbonato","Preto, Prismatizado",365,,126,156,"2xLED 3.7 840.00 lm",Sim,F,12,"Descatalogado PT",2021,"0,98","11,76","0,7","0,002","0,024",375,55,90,,,,,,,,,,,,,,,,"8,4","840,00",564,3000K,80,FLOOD,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0015-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0015-NEG,,,https://files.ledsc4.com/detail-photo/1/DE-0015-NEG,https://files.ledsc4.com/detail-photo/2/DE-0015-NEG,https://files.ledsc4.com/imc/DE-0015-NEG.html,https://files.ledsc4.com/el/DE-0015-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0016-NEG,V0,Sim,"Série de holofotes",8445386076591,"Logos Triple",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/pt/DE-0016-NEG.html,"SÉRIE DE HOLOFOTES LOGOS TRIPLE LED 3000K ON-OFF PRETO 846LM","LedsC4 Logos Triple DE-0016-NEG  Série de holofotes para iluminar para a frente e para baixo.  O módulo ótico pode facilmente girar 360º. Material da estrutura: Aço. Acabamento estrutura: Preto. Material do difusor: Policarbonato. Acabamento difusor: Prismatizado. Garantia: 2 Anos.  Peso líquido do produto (kg): 1.05 Comprimento do produto (mm): 568 Altura do produto (mm): 126 Saída do produto (mm): 156  Classe 1. IP: IP20. LED. N.º de casquilhos ou LED: 3. Potência máxima da fonte de luz: 3.7W. Temperatura de cor: 3000K. Índice de reprodução cromática: 80. Steps Mac Adam: 3. Horas de vida útil: 36.000h L70B30. UGR: 27.0. Risco fotobiológico: RG0. Fluxo real (lm): 846. Fluxo nominal (lm): 1260. Lm/W reais: 67. Intervalo de tensão / frequência: 200-240/50-60Hz. Tensão: 9. Equipamento incluído: Sim. Potência total: 12.6. Fator de potência: 0.50. Equipamento regulável incluído: ON-OFF.",9405421000,"Aço, Policarbonato","Preto, Prismatizado",568,,126,156,"3xLED 3.7 1260.00 lm",Sim,F,12,"Descatalogado PT",2021,"1,33","15,96","1,05","0,004","0,048",575,65,90,,,,,,,,,,,,,,,,"12,6","1260,00",846,3000K,80,FLOOD,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0016-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0016-NEG,https://files.ledsc4.com/ambience-photo/2/DE-0016-NEG,,,,https://files.ledsc4.com/imc/DE-0016-NEG.html,https://files.ledsc4.com/el/DE-0016-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
