Referenz,Version,Vorbestimmt,Typ,EAN13,Familie,Katalog,Nationaltarif,Garantie,"Etiqueta V/f","Full de dades",Beschreibung,masterfile.tender_text,masterfile.codi_duaner,Material,Fertig,Lang,Breite,Höhe,Projektion,Lichtquelle,"Eine Glühbirne einschließen",Energieeffizienz,"Masterbox Einheiten","Produkt aus dem Katalog entfernt",Produktstart,"Verpacktes Gewicht (kg)","Weight master box","Pes net (Kg)","Volumen Einheit (m3)","Volume Master box (m3)","Length Box 1","Kastenbreite 1","Höhenkiste 1","Length Box 2","Kastenbreite 2","Höhenkiste 2","Length Box 3","Kastenbreite 3","Höhenkiste 3","Length MB 1","Breitbahn 1","Höhe MB 1","Length MB 2","Breitbahn 2","Höhe MB 2","Length MB 3","Breitbahn 3","Höhe MB 3","Watts (W)","Lumens (lm)","Real Lumens (lm)","Temperatur de color LED (K)",CRI,Lichtstrahl,Regulierungstyp,IP,IK,"Web Bild","Umgebungsbild 1","Umgebungsbild 2","Umgebungsbild 3","Detailbild 1","Detailbild 2",IMC,EE,Fotometrie,masterfile.ploma_comercial,Zubehör,3D,masterfile.ies,masterfile.ldt,Kenia-Code,"RETILAP Codi","Marroc Codi","Landeskodex 4","Landeskodex 5","Landeskode 6",Model
AG16-18W9S2DS14,V0,Ja,Deckeneinbauleuchten,8435629776746,"Play IP65 Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/AG16-18W9S2DS14.html,"DECKENEINBAULEUCHTEN PLAY IP65 ROUND FIXED LED 19.8W 3000K CRI 92 19.1º DALI-2/","LedsC4 Play IP65 Round Fixed AG16-18W9S2DS14  Deckeneinbauleuchten  Material Körper: Aluminium. Oberfläche Körper: Weiß. Material Diffusor: Glas. Oberfläche Diffusor: Durchsichtig. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 0.81 Breite oder Durchmesser des Produkts (mm): 93 Produkthöhe (mm): 120 Durchmesser des Einbaulochs (mm): 65 Zulässige Stärke der Decke: 0-20 Gewicht in kg (verpackt): 0.87  Klasse 2. Leuchte nicht geeignet für die Abdeckung mit isolierenden Materialien. Glühdrahtprüfung: 850. IP: IN IP20 / OUT IP65. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CREE. Marke des Drivers: VOSSLOH-SCHWABE. Maximale Leistung der Lichtquelle: 17.7W. Farbtemperatur: 3000K. Farbwiedergabeindex: 92. MacAdam-Steps: 2. Lebensdauer in Stunden: 50.000h L80B20. UGR: 19.9. Photobiologisches Risiko: RG1. % de Flickering: &lt;5%. Lichtstrom (lm): 1548. Reale Lm/W: 78. Spannungs-/Frequenzbereich: 100-240V/50-60Hz. Spannung: 36. Netzteil inklusive: Ja. Gesamtleistung: 19.8. Leistungsfaktor: 0.80. dimmbares Betriebsgerät inklusive: DALI-2/PUSH.",9405119090,"Aluminium, Glas","Weiß, Durchsichtig",,93,120,,,Ja,F,16,"Eingestellt DE",2021,"0,87","13,92","0,81","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"19,8",,1548,3000K,92,SPOT+HONEYCOMB,DALI-2/PUSH,"IN IP20 / OUT IP65",,https://files.ledsc4.com/main-photo/AG16-18W9S2DS14,,,,,,https://files.ledsc4.com/imc/AG16-18W9S2DS14.html,https://files.ledsc4.com/el/AG16-18W9S2DS14.html,https://files.ledsc4.com/fm/AG16-18W9S2DS14.html,,https://files.ledsc4.com/ft3/de/AG16-18W9S2DS14.html,https://files.ledsc4.com/3d/AG16-18W9S2DS14.html,https://files.ledsc4.com/ies/AG16-18W9S2DS14.html,https://files.ledsc4.com/ldt/AG16-18W9S2DS14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play IP65 Round Fixed"
DE-0024-NEG,V0,Ja,Pendelleuchten,8435629748613,"Riba Ø350mm",Forlight,"106,9",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/DE-0024-NEG.html,"PENDELLEUCHTEN RIBA Ø350MM E27 15W SCHWARZ","LedsC4 Riba Ø350mm DE-0024-NEG  Pendelleuchten  Material Körper: Stahl. Oberfläche Körper: Schwarz. Material Diffusor: Holz. Oberfläche Diffusor: Natural. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 0.48 Breite oder Durchmesser des Produkts (mm): 350 Produkthöhe (mm): 1700 Gewicht in kg (verpackt): 1.41  Klasse 1. IP: IP20. Gesamtleistung: 15.",9405199090,"Stahl, Holz","Schwarz, Natural",,350,1700,,,Nein,"NA EPREL",1,"Auslauf DE",2021,"1,41","1,41","0,48","0,053","0,053",380,380,365,,,,,,,,,,,,,,,,15,,,,,,,IP20,,https://files.ledsc4.com/main-photo/DE-0024-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0024-NEG,https://files.ledsc4.com/ambience-photo/2/DE-0024-NEG,https://files.ledsc4.com/ambience-photo/3/DE-0024-NEG,https://files.ledsc4.com/detail-photo/1/DE-0024-NEG,https://files.ledsc4.com/detail-photo/2/DE-0024-NEG,https://files.ledsc4.com/imc/DE-0024-NEG.html,,,,,,,,,RETILAP-DECORATIVE,FX-INC-I,,,,
DE-0015-BLA,V0,Ja,"Reihe von Scheinwerfern",8445386076560,"Logos Double",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/de/DE-0015-BLA.html,"REIHE VON SCHEINWERFERN LOGOS DOUBLE LED 3000K SCHALTBAR WEISS 564LM","LedsC4 Logos Double DE-0015-BLA  Reihe von Scheinwerfern  Das optische Modul kann leicht um 360° geschwenkt werden. Material Körper: Stahl. Oberfläche Körper: Weiß. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Prismatisiert. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 0.7 Produktlänge (mm): 365 Produkthöhe (mm): 126 Ausgang des Produktes (mm): 156 Gewicht in kg (verpackt): 0.98  Klasse 1. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 2. Maximale Leistung der Lichtquelle: 3.7W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 36.000h L70B30. UGR: 27.0. Photobiologisches Risiko: RG0. Lichtstrom (lm): 564. Nominaler Lichtstrom (lm): 840. Reale Lm/W: 67. Spannungs-/Frequenzbereich: 200-240/50-60Hz. Spannung: 9. Netzteil inklusive: Ja. Gesamtleistung: 8.4. Leistungsfaktor: 0.50. dimmbares Betriebsgerät inklusive: Schaltbar.",9405421000,"Stahl, Polycarbonat","Weiß, Prismatisiert",365,,126,156,"2xLED 3.7 840.00 lm",Ja,F,12,"Eingestellt DE",2021,"0,98","11,76","0,7","0,002","0,024",375,55,90,,,,,,,,,,,,,,,,"8,4","840,00",564,3000K,80,FLOOD,Schaltbar,IP20,,https://files.ledsc4.com/main-photo/DE-0015-BLA,,,,https://files.ledsc4.com/detail-photo/1/DE-0015-BLA,https://files.ledsc4.com/detail-photo/2/DE-0015-BLA,https://files.ledsc4.com/imc/DE-0015-BLA.html,https://files.ledsc4.com/el/DE-0015-BLA.html,https://files.ledsc4.com/fm/DE-0015-BLA.html,,,,https://files.ledsc4.com/ies/DE-0015-BLA.html,https://files.ledsc4.com/ldt/DE-0015-BLA.html,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0016-BLA,V0,Ja,"Reihe von Scheinwerfern",8445386076584,"Logos Triple",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/de/DE-0016-BLA.html,"REIHE VON SCHEINWERFERN LOGOS TRIPLE LED 3000K SCHALTBAR WEISS 846LM","LedsC4 Logos Triple DE-0016-BLA  Reihe von Scheinwerfern  Das optische Modul kann leicht um 360° geschwenkt werden. Material Körper: Stahl. Oberfläche Körper: Weiß. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Prismatisiert. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 1.05 Produktlänge (mm): 568 Produkthöhe (mm): 126 Ausgang des Produktes (mm): 156 Gewicht in kg (verpackt): 1.33  Klasse 1. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 3. Maximale Leistung der Lichtquelle: 3.7W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 36.000h L70B30. UGR: 27.0. Photobiologisches Risiko: RG0. Lichtstrom (lm): 846. Nominaler Lichtstrom (lm): 1260. Reale Lm/W: 67. Spannungs-/Frequenzbereich: 200-240/50-60Hz. Spannung: 9. Netzteil inklusive: Ja. Gesamtleistung: 12.6. Leistungsfaktor: 0.50. dimmbares Betriebsgerät inklusive: Schaltbar.",9405421000,"Stahl, Polycarbonat","Weiß, Prismatisiert",568,,126,156,"3xLED 3.7 1260.00 lm",Ja,F,12,"Eingestellt DE",2021,"1,33","15,96","1,05","0,004","0,048",575,65,90,,,,,,,,,,,,,,,,"12,6","1260,00",846,3000K,80,FLOOD,Schaltbar,IP20,,https://files.ledsc4.com/main-photo/DE-0016-BLA,,,,,,https://files.ledsc4.com/imc/DE-0016-BLA.html,https://files.ledsc4.com/el/DE-0016-BLA.html,https://files.ledsc4.com/fm/DE-0016-BLA.html,,,,https://files.ledsc4.com/ies/DE-0016-BLA.html,https://files.ledsc4.com/ldt/DE-0016-BLA.html,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0015-NEG,V0,Ja,"Reihe von Scheinwerfern",8445386076577,"Logos Double",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/de/DE-0015-NEG.html,"REIHE VON SCHEINWERFERN LOGOS DOUBLE LED 3000K SCHALTBAR SCHWARZ 564LM","LedsC4 Logos Double DE-0015-NEG  Reihe von Scheinwerfern  Das optische Modul kann leicht um 360° geschwenkt werden. Material Körper: Stahl. Oberfläche Körper: Schwarz. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Prismatisiert. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 0.7 Produktlänge (mm): 365 Produkthöhe (mm): 126 Ausgang des Produktes (mm): 156 Gewicht in kg (verpackt): 0.98  Klasse 1. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 2. Maximale Leistung der Lichtquelle: 3.7W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 36.000h L70B30. UGR: 27.0. Photobiologisches Risiko: RG0. Lichtstrom (lm): 564. Nominaler Lichtstrom (lm): 840. Reale Lm/W: 67. Spannungs-/Frequenzbereich: 200-240/50-60Hz. Spannung: 9. Netzteil inklusive: Ja. Gesamtleistung: 8.4. Leistungsfaktor: 0.50. dimmbares Betriebsgerät inklusive: Schaltbar.",9405421000,"Stahl, Polycarbonat","Schwarz, Prismatisiert",365,,126,156,"2xLED 3.7 840.00 lm",Ja,F,12,"Eingestellt DE",2021,"0,98","11,76","0,7","0,002","0,024",375,55,90,,,,,,,,,,,,,,,,"8,4","840,00",564,3000K,80,FLOOD,Schaltbar,IP20,,https://files.ledsc4.com/main-photo/DE-0015-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0015-NEG,,,https://files.ledsc4.com/detail-photo/1/DE-0015-NEG,https://files.ledsc4.com/detail-photo/2/DE-0015-NEG,https://files.ledsc4.com/imc/DE-0015-NEG.html,https://files.ledsc4.com/el/DE-0015-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0016-NEG,V0,Ja,"Reihe von Scheinwerfern",8445386076591,"Logos Triple",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/de/DE-0016-NEG.html,"REIHE VON SCHEINWERFERN LOGOS TRIPLE LED 3000K SCHALTBAR SCHWARZ 846LM","LedsC4 Logos Triple DE-0016-NEG  Reihe von Scheinwerfern  Das optische Modul kann leicht um 360° geschwenkt werden. Material Körper: Stahl. Oberfläche Körper: Schwarz. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Prismatisiert. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 1.05 Produktlänge (mm): 568 Produkthöhe (mm): 126 Ausgang des Produktes (mm): 156 Gewicht in kg (verpackt): 1.33  Klasse 1. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 3. Maximale Leistung der Lichtquelle: 3.7W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 36.000h L70B30. UGR: 27.0. Photobiologisches Risiko: RG0. Lichtstrom (lm): 846. Nominaler Lichtstrom (lm): 1260. Reale Lm/W: 67. Spannungs-/Frequenzbereich: 200-240/50-60Hz. Spannung: 9. Netzteil inklusive: Ja. Gesamtleistung: 12.6. Leistungsfaktor: 0.50. dimmbares Betriebsgerät inklusive: Schaltbar.",9405421000,"Stahl, Polycarbonat","Schwarz, Prismatisiert",568,,126,156,"3xLED 3.7 1260.00 lm",Ja,F,12,"Eingestellt DE",2021,"1,33","15,96","1,05","0,004","0,048",575,65,90,,,,,,,,,,,,,,,,"12,6","1260,00",846,3000K,80,FLOOD,Schaltbar,IP20,,https://files.ledsc4.com/main-photo/DE-0016-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0016-NEG,https://files.ledsc4.com/ambience-photo/2/DE-0016-NEG,,,,https://files.ledsc4.com/imc/DE-0016-NEG.html,https://files.ledsc4.com/el/DE-0016-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
00-8391-05-05,V0,Nein,Pendelleuchten,8445386076270,"Noway Small",Decorative,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/de/00-8391-05-05.html,"PENDELLEUCHTEN NOWAY SMALL LED 18.5W SW 2700-3000-4000K SCHALTBAR SCHWARZ 618LM","LedsC4 Noway Small 00-8391-05-05  Pendelleuchten  Material Körper: Stahl. Oberfläche Körper: Schwarz. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 2.35 Breite oder Durchmesser des Produkts (mm): 350 Produkthöhe (mm): 1200 Gewicht in kg (verpackt): 3.7  Klasse 1. Glühdrahtprüfung: 850. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke des Drivers: HEP. Maximale Leistung der Lichtquelle: 16.5W. Farbtemperatur: SW 2700-3000-4000K. Farbwiedergabeindex: 92. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR: 26.0. Photobiologisches Risiko: RG0. Lichtstrom (lm): 618. Reale Lm/W: 33. Spannungs-/Frequenzbereich: 220-240/50-60Hz. Spannung: 3. Farbtemperatur: SW 2700-3000-4000K. Farbwiedergabeindex: 92. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR: 26.0. Photobiologisches Risiko: RG0. Lichtstrom (lm): 618. Reale Lm/W: 33. Spannung: 3. Netzteil inklusive: Ja. Gesamtleistung: 18.5. Leistungsfaktor: 0.90. dimmbares Betriebsgerät inklusive: Schaltbar.",9405119090,Stahl,Schwarz,,350,1200,,,Ja,F,1,"Auslauf DE",2021,"3,7","3,7","2,35","0,045","0,045",406,406,270,,,,,,,,,,,,,,,,"18,5",,618,"SW 2700-3000-4000K",92,SPOT,Schaltbar,IP20,,https://files.ledsc4.com/main-photo/00-8391-05-05,,,,https://files.ledsc4.com/detail-photo/1/00-8391-05-05,,https://files.ledsc4.com/imc/00-8391-05-05.html,https://files.ledsc4.com/el/00-8391-05-05.html,https://files.ledsc4.com/fm/00-8391-05-05.html,,,https://files.ledsc4.com/3d/00-8391-05-05.html,https://files.ledsc4.com/ies/00-8391-05-05.html,https://files.ledsc4.com/ldt/00-8391-05-05.html,,,FX-LED-I,,,,"Noway Pendant Small"
00-8391-DN-05,V0,Nein,Pendelleuchten,8445386076287,"Noway Small",Decorative,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/de/00-8391-DN-05.html,"PENDELLEUCHTEN NOWAY SMALL LED 18.5W SW 2700-3000-4000K SCHALTBAR MATTGOLD 618LM","LedsC4 Noway Small 00-8391-DN-05  Pendelleuchten  Material Körper: Stahl. Oberfläche Körper: Mattgold. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 2.35 Breite oder Durchmesser des Produkts (mm): 350 Produkthöhe (mm): 1200 Gewicht in kg (verpackt): 3.7  Klasse 1. Glühdrahtprüfung: 850. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke des Drivers: HEP. Maximale Leistung der Lichtquelle: 16.5W. Farbtemperatur: SW 2700-3000-4000K. Farbwiedergabeindex: 92. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR: 26.0. Photobiologisches Risiko: RG0. Lichtstrom (lm): 618. Reale Lm/W: 33. Spannungs-/Frequenzbereich: 220-240/50-60Hz. Spannung: 3. Farbtemperatur: SW 2700-3000-4000K. Farbwiedergabeindex: 92. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR: 26.0. Photobiologisches Risiko: RG0. Lichtstrom (lm): 618. Reale Lm/W: 33. Spannung: 3. Netzteil inklusive: Ja. Gesamtleistung: 18.5. Leistungsfaktor: 0.90. dimmbares Betriebsgerät inklusive: Schaltbar.",9405119090,Stahl,Mattgold,,350,1200,,,Ja,F,1,"Auslauf DE",2021,"3,7","3,7","2,35","0,045","0,045",406,406,270,,,,,,,,,,,,,,,,"18,5",,618,"SW 2700-3000-4000K",92,SPOT,Schaltbar,IP20,,https://files.ledsc4.com/main-photo/00-8391-DN-05,https://files.ledsc4.com/ambience-photo/1/00-8391-DN-05,https://files.ledsc4.com/ambience-photo/2/00-8391-DN-05,https://files.ledsc4.com/ambience-photo/3/00-8391-DN-05,https://files.ledsc4.com/detail-photo/1/00-8391-DN-05,https://files.ledsc4.com/detail-photo/2/00-8391-DN-05,https://files.ledsc4.com/imc/00-8391-DN-05.html,https://files.ledsc4.com/el/00-8391-DN-05.html,https://files.ledsc4.com/fm/00-8391-DN-05.html,,,https://files.ledsc4.com/3d/00-8391-DN-05.html,https://files.ledsc4.com/ies/00-8391-DN-05.html,https://files.ledsc4.com/ldt/00-8391-DN-05.html,,,FX-LED-I,,,,"Noway Pendant Small"
AK16-34X8MPOU14,V0,Ja,"Lineare Beleuchtungssysteme",8435629740945,"Infinite Pro 1136mm Recessed Microprisma",Architectural,,2,"100-277V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/AK16-34X8MPOU14.html,"LINEARE BELEUCHTUNGSSYSTEME INFINITE PRO 1136MM RECESSED MICROPRISMA 34.7W 4000K","LedsC4 Infinite Pro 1136mm Recessed Microprisma AK16-34X8MPOU14  Lineare Beleuchtungssysteme  Material Körper: Aluminium. Oberfläche Körper: Weiß. Material Diffusor: Polycarbonat. Oberfläche Diffusor: MICROPRISMA. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 2.9 Produktlänge (mm): 1136 Breite oder Durchmesser des Produkts (mm): 75 Produkthöhe (mm): 82 Durchmesser des Einbaulochs (mm): 1140x65 Zulässige Stärke der Decke: 0-25 Gewicht in kg (verpackt): 3.73  Klasse 1. Leuchte nicht geeignet für die Abdeckung mit isolierenden Materialien. Glühdrahtprüfung: 850. IP: IN IP20 / OUT IP40. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: VOSSLOH. Marke des Drivers: TCI. Maximale Leistung der Lichtquelle: 31.6W. Farbtemperatur: 4000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR: 20.0. Photobiologisches Risiko: RG1. % de Flickering: &lt;5%. Lichtstrom (lm): 3773. Reale Lm/W: 109. Spannungs-/Frequenzbereich: 100-305/50-60Hz. Spannung: 3. Netzteil inklusive: Ja. Gesamtleistung: 34.7. Leistungsfaktor: 0.98. dimmbares Betriebsgerät inklusive: Schaltbar.",9405119090,"Aluminium, Polycarbonat","Weiß, MICROPRISMA",1136,75,82,,,Ja,D,1,"Eingestellt DE",2021,"3,73","3,73","2,9","0,024","0,024",1190,120,165,,,,,,,,,,,,,,,,"34,7",,3773,4000K,80,"Check Photometric file",Schaltbar,"IN IP20 / OUT IP40",,https://files.ledsc4.com/main-photo/AK16-34X8MPOU14,,,,,,https://files.ledsc4.com/imc/AK16-34X8MPOU14.html,https://files.ledsc4.com/el/AK16-34X8MPOU14.html,https://files.ledsc4.com/fm/AK16-34X8MPOU14.html,,https://files.ledsc4.com/ft3/de/AK16-34X8MPOU14.html,https://files.ledsc4.com/3d/AK16-34X8MPOU14.html,https://files.ledsc4.com/ies/AK16-34X8MPOU14.html,https://files.ledsc4.com/ldt/AK16-34X8MPOU14.html,,RETILAP-DOWNLIGHT,FX-LED-I,,,,"Infinite Pro Microprisma 1136mm Recessed"
PX-0172-ANT,V0,Ja,Pollerleuchten,8445386115887,TOP,Forlight,"123,25",5,,https://files.ledsc4.com/ft2/de/PX-0172-ANT.html,"POLLERLEUCHTEN IP44 TOP LED 3000K ANTHRAZIT 400","LedsC4 TOP PX-0172-ANT  Pollerleuchten  Material Körper: Aluminium. Oberfläche Körper: Anthrazit. Material Diffusor: Gehärtetes Glas. Oberfläche Diffusor: Sandgestrahlt. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 2 Breite oder Durchmesser des Produkts (mm): 170 Produkthöhe (mm): 500 Ausgang des Produktes (mm): 160 Gewicht in kg (verpackt): 2.33  IP: IP44. LED. Anzahl der Lampenfassungen oder LEDs: 1. Maximale Leistung der Lichtquelle: 3W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 36.000h L70B30. UGR: 17.3. Photobiologisches Risiko: RG0. Lichtstrom (lm): 129. Nominaler Lichtstrom (lm): 400. Reale Lm/W: 43. Spannung: 3. Netzteil inklusive: Ja.",9405219090,"Aluminium, Gehärtetes Glas","Anthrazit, Sandgestrahlt",,170,500,160,"1xLED 3 400 lm",Ja,E,4,"Auslauf DE",2022,"2,33","9,32",2,"0,028","0,112",210,210,560,,,,,,,,,,,,,,,,,400,129,3000K,80,FLOOD,,IP44,,https://files.ledsc4.com/main-photo/PX-0172-ANT,https://files.ledsc4.com/ambience-photo/1/PX-0172-ANT,,,https://files.ledsc4.com/detail-photo/1/PX-0172-ANT,,https://files.ledsc4.com/imc/PX-0172-ANT.html,https://files.ledsc4.com/el/PX-0172-ANT.html,https://files.ledsc4.com/fm/PX-0172-ANT.html,,,,https://files.ledsc4.com/ies/PX-0172-ANT.html,https://files.ledsc4.com/ldt/PX-0172-ANT.html,,RETILAP-BALIZA,FX-LED-I,,,,
PX-0174-ANT,V0,Ja,Wandaufbaubauleuchte,8445386110790,BOW,Forlight,,2,,https://files.ledsc4.com/ft2/de/PX-0174-ANT.html,"WANDAUFBAUBAULEUCHTE IP44 BOW LED 3000K ANTHRAZIT 400","LedsC4 BOW PX-0174-ANT  Wandaufbaubauleuchte  Material Körper: Aluminium. Oberfläche Körper: Anthrazit. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Opal. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 1 Breite oder Durchmesser des Produkts (mm): 140 Produkthöhe (mm): 250 Ausgang des Produktes (mm): 155 Gewicht in kg (verpackt): 1.23  IP: IP44. LED. Anzahl der Lampenfassungen oder LEDs: 1. Maximale Leistung der Lichtquelle: 3W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 36.000h L70B30. UGR: 15.3. Photobiologisches Risiko: RG0. Lichtstrom (lm): 92. Nominaler Lichtstrom (lm): 400. Reale Lm/W: 31. Spannung: 3. Netzteil inklusive: Ja.",9405119090,"Aluminium, Polycarbonat","Anthrazit, Opal",,140,250,155,"1xLED 3 400 lm",Ja,E,12,"Eingestellt DE",2022,"1,23","14,76",1,"0,007","0,084",170,150,260,,,,,,,,,,,,,,,,,400,92,3000K,80,,,IP44,,https://files.ledsc4.com/main-photo/PX-0174-ANT,https://files.ledsc4.com/ambience-photo/1/PX-0174-ANT,https://files.ledsc4.com/ambience-photo/2/PX-0174-ANT,https://files.ledsc4.com/ambience-photo/3/PX-0174-ANT,https://files.ledsc4.com/detail-photo/1/PX-0174-ANT,https://files.ledsc4.com/detail-photo/2/PX-0174-ANT,https://files.ledsc4.com/imc/PX-0174-ANT.html,https://files.ledsc4.com/el/PX-0174-ANT.html,https://files.ledsc4.com/fm/PX-0174-ANT.html,,,,https://files.ledsc4.com/ies/PX-0174-ANT.html,https://files.ledsc4.com/ldt/PX-0174-ANT.html,,RETILAP-APLIQUE,FX-LED-I,,,,
PX-0162-CEM,V0,Ja,Pollerleuchten,8445386074863,"Box 700mm",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/de/PX-0162-CEM.html,"POLLERLEUCHTEN IP65 BOX 700MM LED 5.8W 4000K SCHALTBAR ZEMENT 580.00","LedsC4 Box 700mm PX-0162-CEM  Pollerleuchten  Material Körper: Zement. Oberfläche Körper: Zement. Material Diffusor: Glas. Oberfläche Diffusor: Durchsichtig. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 12.13 Breite oder Durchmesser des Produkts (mm): 200 Produkthöhe (mm): 700 Ausgang des Produktes (mm): 200 Gewicht in kg (verpackt): 14.53  Klasse 2. IP: IP65. IK: IK10. LED. Anzahl der Lampenfassungen oder LEDs: 1. Maximale Leistung der Lichtquelle: 5.8W. Farbtemperatur: 4000K. Farbwiedergabeindex: 80. MacAdam-Steps: 4. Lebensdauer in Stunden: 36.000h L70B30. UGR: 26.6. Photobiologisches Risiko: RG0. Lichtstrom (lm): 115. Nominaler Lichtstrom (lm): 580. Reale Lm/W: 20. Spannungs-/Frequenzbereich: 220-240/50-60Hz. Spannung: 230. Netzteil inklusive: Ja. Gesamtleistung: 5.8. Leistungsfaktor: 0.97. dimmbares Betriebsgerät inklusive: Schaltbar.",9405219090,"Zement, Glas","Zement, Durchsichtig",,200,700,200,"1xLED 5.8 580.00 lm",Ja,G,1,"Eingestellt DE",2021,"14,53","14,53","12,13","0,137","0,137",890,390,395,,,,,,,,,,,,,,,,"5,8","580,00",115,4000K,80,"Check Photometric file",Schaltbar,IP65,IK10,https://files.ledsc4.com/main-photo/PX-0162-CEM,https://files.ledsc4.com/ambience-photo/1/PX-0162-CEM,,,https://files.ledsc4.com/detail-photo/1/PX-0162-CEM,https://files.ledsc4.com/detail-photo/2/PX-0162-CEM,https://files.ledsc4.com/imc/PX-0162-CEM.html,https://files.ledsc4.com/el/PX-0162-CEM.html,https://files.ledsc4.com/fm/PX-0162-CEM.html,,,,https://files.ledsc4.com/ies/PX-0162-CEM.html,https://files.ledsc4.com/ldt/PX-0162-CEM.html,,RETILAP-BALIZA,FX-LED-II,,,,
