Reference,Version,Predetermined,Type,EAN13,Family,Catalog,"National Rate",Warranty,"Etiqueta V/f",Datasheet,Description,masterfile.tender_text,masterfile.codi_duaner,Material,Finish,Length,Width,Height,Projection,"Light source","Bulb included","Energy efficiency","Units master box","Discontinued item","Product launch","Weight packaged (KG)","Weight master box","Weight net (KG)","Volume Unit (m3)","Volume Master box (m3)","Length Box 1","Width Box 1","Height Box 1","Length Box 2","Width Box 2","Height Box 2","Length Box 3","Width Box 3","Height Box 3","Length MB 1","Width MB 1","Height MB 1","Length MB 2","Width MB 2","Height MB 2","Length MB 3","Width MB 3","Height MB 3","Wattage (W)","Lumen Output (lm)","Lumenes reales (lm)","Led Colour Temperature (K)",CRI,"Light Beam (º)","Regulation type","IP Rating",IK,"Web Image","Ambient Image 1","Ambient Image 2","Ambient Image 3","Detail Image 1","Detail Image 2",IMC,EE,Photometry,masterfile.ploma_comercial,Accessories,3D,masterfile.ies,masterfile.ldt,"Codi Kenia","Codi RETILAP","Codi Marroc","Country Code 4","Country Code 5","Country Code 6",Model
15-9948-CA-CL,V0,No,"Recessed ceiling lights",8435381455736,"Gea Power Led",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/15-9948-CA-CL.html,"RECESSED CEILING LIGHTS IP66 GEA POWER LED LED 22W 3000K ON-OFF AISI 316 STAINLE","LedsC4 Gea Power Led 15-9948-CA-CL  Recessed ceiling lights for outdoor use.   For downlighting. Includes 2 cable outlets to facilitate chain mounting. Adjustable light source. Structure material: Stainless steel AISI316. Structure finish: AISI 316 stainless steel. Diffuser material: Glass. Diffuser finish: Transparent. UV protection. Warranty: 2 Years.  Product net weight (Kg): 1.18 Product width or diameter (mm): 190 Product aperture (mm): 90 Ø of the hole for recessing (mm): 170 Permitted ceiling thickness: 12-30  Class 1. Luminaire not suitable for coating with insulation materials. Glow wire test: 850. IP: IP66. IK: IK10. LED. No. of lampholders or LEDs: 1. LED brand: LUMILEDS. Maximum power of light source: 18W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR: 16.6. Photobiological risk: RG1. Real flux (lm): 1820. Real lm/W: 83. Voltage / frequency range: 100-240/50-60Hz. Voltage: 3. Equipment included: Yes. Multi-voltage equipment included. Total power: 22. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Stainless steel AISI316, Glass","AISI 316 stainless steel, Transparent",,190,,90,,Yes,G,2,"Descatalogado EN",2017,"2,05","4,1","1,18","0,006","0,012",200,200,115,,,,,,,215,215,260,,,,,,,22,,1820,3000K,80,MEDIUM,ON-OFF,IP66,IK10,https://files.ledsc4.com/main-photo/15-9948-CA-CL,,,,,,https://files.ledsc4.com/imc/15-9948-CA-CL.html,https://files.ledsc4.com/el/15-9948-CA-CL.html,https://files.ledsc4.com/fm/15-9948-CA-CL.html,https://files.ledsc4.com/pl/15-9948-CA-CL.html,https://files.ledsc4.com/ft3/en/15-9948-CA-CL.html,https://files.ledsc4.com/3d/15-9948-CA-CL.html,https://files.ledsc4.com/ies/15-9948-CA-CL.html,https://files.ledsc4.com/ldt/15-9948-CA-CL.html,,,FX-LED-I,,,,
TC-0357-BLA,V0,Yes,Spotlight,8435381458850,"Onyx ø82mm",Forlight,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/TC-0357-BLA.html,"SPOTLIGHT ONYX Ø82MM LED 21W 3000K ON-OFF WHITE IP20 2000.00","LedsC4 Onyx ø82mm TC-0357-BLA  Spotlight for indoor use.   For asymmetrical lighting. Compatible with triple-phase track. High luminous efficiency. Not compatible with TC-0473-BLA. The optical module can easily be rotated 360º. Structure material: Aluminium. Structure finish: White. Diffuser material: Glass. Diffuser finish: Transparent. Warranty: 3 Years.  Product net weight (Kg): 0.79 Product length (mm): 170 Product width or diameter (mm): 82 Product height (mm): 130  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: EDISON. Maximum power of light source: 20W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. UGR: 18.0. Photobiological risk: RG1. Real flux (lm): 1745. Nominal flux (lm): 2000. Real lm/W: 83. Voltage / frequency range: 100-277/50-60Hz. Voltage: 37. Equipment included: Yes. Multi-voltage equipment included. Total power: 21. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Glass","White, Transparent",170,82,130,,"1xLED 20 2000.00 lm",Yes,F,12,"Descatalogado EN",2017,"1,01","12,12","0,79","0,005","0,06",185,110,215,,,,,,,390,360,460,,,,,,,21,"2000,00",1745,3000K,80,"ULTRA MEDIUM",ON-OFF,IP20,,https://files.ledsc4.com/main-photo/TC-0357-BLA,https://files.ledsc4.com/ambience-photo/1/TC-0357-BLA,https://files.ledsc4.com/ambience-photo/2/TC-0357-BLA,,https://files.ledsc4.com/detail-photo/1/TC-0357-BLA,,https://files.ledsc4.com/imc/TC-0357-BLA.html,https://files.ledsc4.com/el/TC-0357-BLA.html,https://files.ledsc4.com/fm/TC-0357-BLA.html,https://files.ledsc4.com/pl/TC-0357-BLA.html,,,https://files.ledsc4.com/ies/TC-0357-BLA.html,https://files.ledsc4.com/ldt/TC-0357-BLA.html,,RETILAP-TRACK,FX-LED-I,,,,
TC-0358-BLA,V0,Yes,Spotlight,8435381458867,"Onyx ø100mm",Forlight,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/TC-0358-BLA.html,"SPOTLIGHT ONYX Ø100MM LED 38.5W 3000K ON-OFF WHITE IP20 4000.00","LedsC4 Onyx ø100mm TC-0358-BLA  Spotlight for indoor use.   For asymmetrical lighting. Compatible with triple-phase track. High luminous efficiency. Not compatible with TC-0473-BLA. The optical module can easily be rotated 360º. Structure material: Aluminium. Structure finish: White. Diffuser material: Glass. Diffuser finish: Transparent. Warranty: 3 Years.  Product net weight (Kg): 1.39 Product length (mm): 228 Product width or diameter (mm): 100 Product height (mm): 151  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: EDISON. Maximum power of light source: 35W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. UGR:  14.2. Photobiological risk: RG1. Real flux (lm): 3007. Nominal flux (lm): 4000. Real lm/W: 78. Voltage / frequency range: 100-277/50-60Hz. Voltage: 37. Equipment included: Yes. Multi-voltage equipment included. Total power: 38.5. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Glass","White, Transparent",228,100,151,,"1xLED 35 4000.00 lm",Yes,E,8,"Descatalogado EN",2017,"1,55","12,4","1,39","0,009","0,072",190,140,265,,,,,,,585,405,290,,,,,,,"38,5","4000,00",3007,3000K,80,MEDIUM,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/TC-0358-BLA,https://files.ledsc4.com/ambience-photo/1/TC-0358-BLA,https://files.ledsc4.com/ambience-photo/2/TC-0358-BLA,,https://files.ledsc4.com/detail-photo/1/TC-0358-BLA,,https://files.ledsc4.com/imc/TC-0358-BLA.html,https://files.ledsc4.com/el/TC-0358-BLA.html,https://files.ledsc4.com/fm/TC-0358-BLA.html,https://files.ledsc4.com/pl/TC-0358-BLA.html,,,https://files.ledsc4.com/ies/TC-0358-BLA.html,https://files.ledsc4.com/ldt/TC-0358-BLA.html,,RETILAP-TRACK,FX-LED-I,,,,
PX-0365-NEG,V0,Yes,"Floor lamp",8435381458652,Picnic,Forlight,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/PX-0365-NEG.html,"FLOOR LAMP IP65 PICNIC GU10 8W BLACK 637LM","LedsC4 Picnic PX-0365-NEG  Floor lamp for outdoor use.   For side lighting. Adjustable height. Metres of cable included: 4.5. Adjustable light source. Structure material: Aluminium. Structure finish: Black. Diffuser material: Glass. Diffuser finish: Transparent. UV protection. Warranty: 3 Years.  Product net weight (Kg): 1.85 Product width or diameter (mm): 600 Product height (mm): 1500  Class 1. IP: IP65. IK: IK05. Total power: 8.",9405299090,"Aluminium, Glass","Black, Transparent",,600,1500,,,No,"NA EPREL",10,"Descatalogado EN",2018,"2,14","21,4","1,85","0,009","0,09",120,100,600,,,,,,,530,265,620,,,,,,,8,,637,,,MEDIUM,,IP65,IK05,https://files.ledsc4.com/main-photo/PX-0365-NEG,https://files.ledsc4.com/ambience-photo/1/PX-0365-NEG,https://files.ledsc4.com/ambience-photo/2/PX-0365-NEG,,https://files.ledsc4.com/detail-photo/1/PX-0365-NEG,https://files.ledsc4.com/detail-photo/2/PX-0365-NEG,https://files.ledsc4.com/imc/PX-0365-NEG.html,,https://files.ledsc4.com/fm/PX-0365-NEG.html,https://files.ledsc4.com/pl/PX-0365-NEG.html,,,https://files.ledsc4.com/ies/PX-0365-NEG.html,https://files.ledsc4.com/ldt/PX-0365-NEG.html,,RETILAP-DECORATIVE,PR-INC-I,,,,
00-5694-05-05,V0,No,Pendant,8435381462772,"Invisible Single Adjustable",Decorative,"516,5",5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/00-5694-05-05.html,"PENDANT INVISIBLE SINGLE ADJUSTABLE LED 12.2W 3000K PHASE CUT BLACK 393LM","LedsC4 Invisible Single Adjustable 00-5694-05-05  Pendant for indoor use.   For downlighting. Adjustable light source. Structure material: Aluminium, Steel. Structure finish: Black. Diffuser material: Methacrylate. Diffuser finish: Tinted. Warranty: 5 Years.  Product net weight (Kg): 2.55 Product length (mm): 1760 Product height (mm): 600-1980  Class 2. Glow wire test: 750. IP: IP20. LED. No. of lampholders or LEDs: 1. Driver brand: HEP. Maximum power of light source: 9W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 5. Hours of life: 50.000h L80B20. UGR: 20.9. Photobiological risk: RG0. Real flux (lm): 393. Nominal flux (lm): 765. Real lm/W: 32. Voltage / frequency range: 220-240/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 12.2. Power factor: 0.90. Dimmable equipment included: PHASE CUT.",9405119090,"Aluminium, Steel, Methacrylate","Black, Tinted",1760,,600-1980,,"1xLED 9 765 lm",Yes,F,1,"Discontinuo EN",2017,5,5,"2,55","0,077","0,077",1600,220,220,,,,,,,,,,,,,,,,"12,2",765,393,3000K,80,,"PHASE CUT",IP20,,https://files.ledsc4.com/main-photo/00-5694-05-05,https://files.ledsc4.com/ambience-photo/1/00-5694-05-05,,,https://files.ledsc4.com/detail-photo/1/00-5694-05-05,,https://files.ledsc4.com/imc/00-5694-05-05.html,https://files.ledsc4.com/el/00-5694-05-05.html,https://files.ledsc4.com/fm/00-5694-05-05.html,https://files.ledsc4.com/pl/00-5694-05-05.html,,https://files.ledsc4.com/3d/00-5694-05-05.html,https://files.ledsc4.com/ies/00-5694-05-05.html,https://files.ledsc4.com/ldt/00-5694-05-05.html,,,FX-LED-II,,,,"Invisible Pendant Single Adjustable"
TC-0304-BLA,V0,Yes,Structure,8435381456672,"Mix Frame Surface Ø80mm",Forlight,"22,55",5,,https://files.ledsc4.com/ft2/en/TC-0304-BLA.html,"STRUCTURE MIX FRAME SURFACE Ø80MM ALUMINIUM WHITE IP23","LedsC4 Mix Frame Surface Ø80mm TC-0304-BLA  Structure for indoor use.   For downlighting. Adjustable light source. Structure material: Aluminium. Structure finish: White. Warranty: 5 Years.  Product net weight (Kg): 0.54 Product length (mm): 162 Product width or diameter (mm): 80  IP: IP23.",9405990090,Aluminium,White,162,80,,,,No,"NA EPREL",25,"Discontinuo EN",2017,"0,63","15,75","0,54","0,002","0,05",95,95,180,,,,,,,510,510,210,,,,,,,,,,,,,,IP23,,https://files.ledsc4.com/main-photo/TC-0304-BLA,https://files.ledsc4.com/ambience-photo/1/TC-0304-BLA,https://files.ledsc4.com/ambience-photo/2/TC-0304-BLA,,,,https://files.ledsc4.com/imc/TC-0304-BLA.html,,,https://files.ledsc4.com/pl/TC-0304-BLA.html,https://files.ledsc4.com/ft3/en/TC-0304-BLA.html,,,,,,NA-Accessory,,,,
00-6000-05-M1,V0,No,Pendant,8435381462345,"Tubs 1200mm",Decorative,,2,"100-277V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/00-6000-05-M1.html,"PENDANT TUBS 1200MM LED 53.5W 3000K ON-OFF BLACK 2440LM","LedsC4 Tubs 1200mm 00-6000-05-M1  Pendant for indoor use.   For downlighting. Structure material: Aluminium. Structure finish: Black. Diffuser material: Methacrylate. Diffuser finish: Opal. Warranty: 2 Years.  Product net weight (Kg): 5 Product length (mm): 1200 Product width or diameter (mm): 800 Product height (mm): 5000 Product aperture (mm): 5000  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. Driver brand: HEP. Maximum power of light source: 48W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 5. Hours of life: 50.000h L80B20. UGR: 11.4. Photobiological risk: RG0. Real flux (lm): 2440. Nominal flux (lm): 5200. Real lm/W: 46. Voltage / frequency range: 100-277/50-60Hz. Voltage: 3. Equipment included: Yes. Multi-voltage equipment included. Total power: 53.5. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Methacrylate","Black, Opal",1200,800,5000,5000,"1xLED 48 5200 lm",Yes,F,1,"Descatalogado EN",2018,"12,6","12,6",5,"0,494","0,494",1300,905,420,,,,,,,,,,,,,,,,"53,5",5200,2440,3000K,80,SPOT,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/00-6000-05-M1,https://files.ledsc4.com/ambience-photo/1/00-6000-05-M1,https://files.ledsc4.com/ambience-photo/2/00-6000-05-M1,https://files.ledsc4.com/ambience-photo/3/00-6000-05-M1,https://files.ledsc4.com/detail-photo/1/00-6000-05-M1,https://files.ledsc4.com/detail-photo/2/00-6000-05-M1,https://files.ledsc4.com/imc/00-6000-05-M1.html,https://files.ledsc4.com/el/00-6000-05-M1.html,https://files.ledsc4.com/fm/00-6000-05-M1.html,https://files.ledsc4.com/pl/00-6000-05-M1.html,,https://files.ledsc4.com/3d/00-6000-05-M1.html,https://files.ledsc4.com/ies/00-6000-05-M1.html,https://files.ledsc4.com/ldt/00-6000-05-M1.html,,,FX-LED-I,,,,"Tubs Pendant 1200mm"
05-9912-34-CL,V0,No,"Surface-mounted wall light",8435381454678,"Afrodita LED 220mm Single Emission",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-9912-34-CL.html,"SURFACE-MOUNTED WALL LIGHT IP66 AFRODITA LED 220MM SINGLE EMISSION LED 12.7W 300","LedsC4 Afrodita LED 220mm Single Emission 05-9912-34-CL  Surface-mounted wall light for outdoor use.   For downlighting. Structure material: Aluminium. Structure finish: Grey. Diffuser material: Glass. Diffuser finish: Partly-sandblasted. UV protection. Warranty: 2 Years.  Product net weight (Kg): 1.41 Product width or diameter (mm): 220 Product height (mm): 90 Product aperture (mm): 120  Class 1. Glow wire test: 850. IP: IP66. IK: IK04. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 11.5W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR:  22.2. Photobiological risk: RG0. Real flux (lm): 913. Nominal flux (lm): 1097. Real lm/W: 72. Voltage / frequency range: 100-240/50-60Hz. Voltage: 6. Equipment included: Yes. Multi-voltage equipment included. Total power: 12.7. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Glass","Grey, Partly-sandblasted",,220,90,120,"1xLED 11.5 1097 lm",Yes,E,4,"Descatalogado EN",2017,"1,58","6,32","1,41","0,004","0,016",230,130,100,,,,,,,275,255,225,,,,,,,"12,7",1097,913,3000K,80,"Check Photometric file",ON-OFF,IP66,IK04,https://files.ledsc4.com/main-photo/05-9912-34-CL,,,,,,https://files.ledsc4.com/imc/05-9912-34-CL.html,https://files.ledsc4.com/el/05-9912-34-CL.html,https://files.ledsc4.com/fm/05-9912-34-CL.html,https://files.ledsc4.com/pl/05-9912-34-CL.html,,https://files.ledsc4.com/3d/05-9912-34-CL.html,https://files.ledsc4.com/ies/05-9912-34-CL.html,https://files.ledsc4.com/ldt/05-9912-34-CL.html,,,FX-LED-I,,,,"Afrodita LED 220mm Single Emission"
05-9878-34-CL,V0,No,"Surface-mounted wall light",8435381454692,"Afrodita LED 300mm Double Emission",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-9878-34-CL.html,"SURFACE-MOUNTED WALL LIGHT IP66 AFRODITA LED 300MM DOUBLE EMISSION LED 43.3W 300","LedsC4 Afrodita LED 300mm Double Emission 05-9878-34-CL  Surface-mounted wall light for outdoor use.   For uplighting and downlighting. Structure material: Aluminium. Structure finish: Grey. Diffuser material: Glass. Diffuser finish: Partly-sandblasted. UV protection. Warranty: 2 Years.  Product net weight (Kg): 2.47 Product width or diameter (mm): 300 Product height (mm): 120 Product aperture (mm): 178  Class 1. Glow wire test: 850. IP: IP66. IK: IK04. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 39W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR:  13.5. Photobiological risk: RG0. Real flux (lm): 3288. Nominal flux (lm): 3879. Real lm/W: 76. Voltage / frequency range: 100-240/50-60Hz. Voltage: 6. Equipment included: Yes. Multi-voltage equipment included. Total power: 43.3. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Glass","Grey, Partly-sandblasted",,300,120,178,"1xLED 39 3879.00 lm",Yes,E,2,"Descatalogado EN",2017,"2,82","5,64","2,47","0,01","0,02",310,130,190,,,,,,,330,280,220,,,,,,,"43,3","3879,00",3288,3000K,80,"Check Photometric file",ON-OFF,IP66,IK04,https://files.ledsc4.com/main-photo/05-9878-34-CL,,,,,,https://files.ledsc4.com/imc/05-9878-34-CL.html,https://files.ledsc4.com/el/05-9878-34-CL.html,https://files.ledsc4.com/fm/05-9878-34-CL.html,https://files.ledsc4.com/pl/05-9878-34-CL.html,,https://files.ledsc4.com/3d/05-9878-34-CL.html,https://files.ledsc4.com/ies/05-9878-34-CL.html,https://files.ledsc4.com/ldt/05-9878-34-CL.html,,,FX-LED-I,,,,"Afrodita LED 300mm Double Emission"
10-3686-21-M1,V0,Yes,"Table lamp",8435381473129,Flavia,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/10-3686-21-M1.html,"TABLE LAMP FLAVIA E27 15W CHROME 708LM","LedsC4 Flavia 10-3686-21-M1  Table lamp for indoor use.   For uplighting and downlighting. Adjustable light source. Structure material: Aluminium, Steel. Structure finish: Chrome. Diffuser material: Methacrylate. Diffuser finish: Opal. Warranty: 3 Years.  Product net weight (Kg): 3.7 Product length (mm): 345 Product width or diameter (mm): 230 Product height (mm): 510  Class 2. IP: IP20. Equipment included: No. Total power: 15.",9405299090,"Aluminium, Steel, Methacrylate","Chrome, Opal",345,230,510,,,No,,8,"Descatalogado EN",2017,"10,78",,"7,4","0,088","0,504",360,115,520,250,260,250,360,115,520,480,380,540,525,530,540,,,,15,,708,,,,,IP20,,https://files.ledsc4.com/main-photo/10-3686-21-M1,https://files.ledsc4.com/ambience-photo/1/10-3686-21-M1,,,https://files.ledsc4.com/detail-photo/1/10-3686-21-M1,,https://files.ledsc4.com/imc/10-3686-21-M1.html,,https://files.ledsc4.com/fm/10-3686-21-M1.html,https://files.ledsc4.com/pl/10-3686-21-M1.html,,https://files.ledsc4.com/3d/10-3686-21-M1.html,https://files.ledsc4.com/ies/10-3686-21-M1.html,https://files.ledsc4.com/ldt/10-3686-21-M1.html,,RETILAP-DECORATIVE,PR-INC-II,,,,
25-3686-21-M1,V0,Yes,"Floor lamp",8435381473136,Flavia,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/25-3686-21-M1.html,"FLOOR LAMP FLAVIA E27 15W CHROME 907LM","LedsC4 Flavia 25-3686-21-M1  Floor lamp for indoor use.   For uplighting and downlighting. Adjustable light source. Structure material: Aluminium, Steel. Structure finish: Chrome. Diffuser material: Methacrylate. Diffuser finish: Opal. Warranty: 3 Years.  Product net weight (Kg): 5.93 Product length (mm): 250 Product width or diameter (mm): 250 Product height (mm): 1300  Class 2. IP: IP20. Equipment included: No. Total power: 15.",9405299090,"Aluminium, Steel, Methacrylate","Chrome, Opal",250,250,1300,,,No,,8,"Descatalogado EN",2017,"9,34",,"5,93","0,086","0,286",390,120,1250,250,260,250,,,,410,260,1260,525,530,540,,,,15,,907,,,,,IP20,,https://files.ledsc4.com/main-photo/25-3686-21-M1,https://files.ledsc4.com/ambience-photo/1/25-3686-21-M1,,,https://files.ledsc4.com/detail-photo/1/25-3686-21-M1,https://files.ledsc4.com/detail-photo/2/25-3686-21-M1,https://files.ledsc4.com/imc/25-3686-21-M1.html,,https://files.ledsc4.com/fm/25-3686-21-M1.html,https://files.ledsc4.com/pl/25-3686-21-M1.html,,https://files.ledsc4.com/3d/25-3686-21-M1.html,https://files.ledsc4.com/ies/25-3686-21-M1.html,https://files.ledsc4.com/ldt/25-3686-21-M1.html,,RETILAP-DECORATIVE,PR-INC-II,,,,
05-6024-21-21,V0,Yes,"Reading lights",8435526865420,"Lire Switch",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-6024-21-21.html,"READING LIGHTS LIRE SWITCH LED 3.5W 2700K ON-OFF CHROME 125LM","LedsC4 Lire Switch 05-6024-21-21  Reading lights for indoor use.   For frontal lighting and downlighting. Timeless design. Premium finishes. Optimum visual comfort. Embedded/surface mounted double installation. Easy instalation. High durability for intensive use. The optical module can easily be rotated 360º. Structure material: Aluminium, Steel. Structure finish: Chrome. Warranty: 3 Years.  Product net weight (Kg): 0.72 Product width or diameter (mm): 60 Product height (mm): 170 Product aperture (mm): 70 Ø of the hole for recessing (mm): 160x50 Permitted ceiling thickness: 3-35  Class 1. Glow wire test: 850. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 2.2W. Colour temperature: 2700K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR: 14.1. Photobiological risk: RG2. Real flux (lm): 125. Real lm/W: 36. Voltage / frequency range: 100-240/50-60Hz. Voltage: 3. Equipment included: Yes. Multi-voltage equipment included. Total power: 3.5. Power factor: 0.40. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Steel",Chrome,,60,170,70,,Yes,E,12,"Descatalogado EN",2017,"0,88","10,56","0,72","0,003","0,036",210,100,100,,,,,,,430,230,330,,,,,,,"3,5",,125,2700K,80,SPOT,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-6024-21-21,https://files.ledsc4.com/ambience-photo/1/05-6024-21-21,,,https://files.ledsc4.com/detail-photo/1/05-6024-21-21,,https://files.ledsc4.com/imc/05-6024-21-21.html,https://files.ledsc4.com/el/05-6024-21-21.html,https://files.ledsc4.com/fm/05-6024-21-21.html,https://files.ledsc4.com/pl/05-6024-21-21.html,,https://files.ledsc4.com/3d/05-6024-21-21.html,https://files.ledsc4.com/ies/05-6024-21-21.html,https://files.ledsc4.com/ldt/05-6024-21-21.html,,RETILAP-DECORATIVE,FX-LED-I,,,,"Lire Switch"
05-6068-14-14,V0,Yes,"Reading lights",8435381472290,Lire,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-6068-14-14.html,"READING LIGHTS LIRE LED 3.5W 2700K ON-OFF WHITE 125LM","LedsC4 Lire 05-6068-14-14  Reading lights for indoor use.   For frontal lighting and downlighting. Timeless design. Premium finishes. Optimum visual comfort. Embedded/surface mounted double installation. Easy instalation. High durability for intensive use. The optical module can easily be rotated 360º. Structure material: Aluminium, Steel. Structure finish: White. Warranty: 3 Years.  Product net weight (Kg): 0.73 Product width or diameter (mm): 60 Product height (mm): 170 Product aperture (mm): 70 Ø of the hole for recessing (mm): 160x50 Permitted ceiling thickness: 3-35  Class 1. Glow wire test: 850. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 2.2W. Colour temperature: 2700K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR: 13.9. Photobiological risk: RG2. Real flux (lm): 125. Nominal flux (lm): 179. Real lm/W: 36. Voltage / frequency range: 100-240/50-60Hz. Voltage: 3. Equipment included: Yes. Multi-voltage equipment included. Total power: 3.5. Power factor: 0.40. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Steel",White,,60,170,70,"1xLED 2.2 179.00 lm",Yes,E,12,"Descatalogado EN",2018,"0,89","10,68","0,73","0,003","0,036",210,100,100,,,,,,,430,230,330,,,,,,,"3,5","179,00",125,2700K,80,"EXTRA SPOT",ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-6068-14-14,https://files.ledsc4.com/ambience-photo/1/05-6068-14-14,,,,,https://files.ledsc4.com/imc/05-6068-14-14.html,https://files.ledsc4.com/el/05-6068-14-14.html,,https://files.ledsc4.com/pl/05-6068-14-14.html,https://files.ledsc4.com/ft3/en/05-6068-14-14.html,https://files.ledsc4.com/3d/05-6068-14-14.html,,,,RETILAP-DECORATIVE,FX-LED-I,,,,Lire
05-6193-14-14,V0,No,"Reading lights",8435381494810,"Stylus Switch",Decorative,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-6193-14-14.html,"READING LIGHTS STYLUS SWITCH LED 5.1W 3000K WHITE 166LM","LedsC4 Stylus Switch 05-6193-14-14  Reading lights for indoor use.   For frontal lighting and downlighting. Ideal deco-tech compositions. Minimalist design. Highly versatile, multiple installations. Highly customisable: accessories, finishes… Optimum price-performance. Optimum visual comfort. Embedded/surface mounted double installation. Easy instalation. Full collection with complementary products. High durability for intensive use. The optical module can easily be rotated 360º. Structure material: Aluminium. Structure finish: White. Diffuser material: Polycarbonate. Diffuser finish: Transparent. Warranty: 5 Years.  Product net weight (Kg): 0.28 Product width or diameter (mm): 90 Product height (mm): 120  Class 1. LED. No. of lampholders or LEDs: 1. LED brand: SHARP. Driver brand: HEP. Maximum power of light source: 3.4W. Colour temperature: 3000K. Colour rendering index: 83. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR:  18.5. Photobiological risk: RG1. Real flux (lm): 166. Nominal flux (lm): 410. Real lm/W: 33. Voltage: 9.8V. Equipment included: Yes. Total power: 5.1. Power factor: 0.87.",9405119090,"Aluminium, Polycarbonate","White, Transparent",,90,120,,"1xLED 3.4 410 lm",Yes,F,30,"Discontinuo EN",2018,"0,38","11,4","0,28","0,001","0,03",110,75,140,,,,,,,395,360,305,,,,,,,"5,1",410,166,3000K,83,"Check Photometric file",,,,https://files.ledsc4.com/main-photo/05-6193-14-14,https://files.ledsc4.com/ambience-photo/1/05-6193-14-14,https://files.ledsc4.com/ambience-photo/2/05-6193-14-14,,,,https://files.ledsc4.com/imc/05-6193-14-14.html,https://files.ledsc4.com/el/05-6193-14-14.html,https://files.ledsc4.com/fm/05-6193-14-14.html,https://files.ledsc4.com/pl/05-6193-14-14.html,,https://files.ledsc4.com/3d/05-6193-14-14.html,https://files.ledsc4.com/ies/05-6193-14-14.html,https://files.ledsc4.com/ldt/05-6193-14-14.html,,,FX-LED-I,,,,"Stylus Wall Fixture Switch"
