SKU,INVENTARIO
90-5701-14-OU,1
90-5702-N3-OS,4
90-5704-14-OS,1
90-5704-N3-DS,2
90-5705-N3-OS,2
90-5706-14-DS,2
90-5709-14-DS,6
90-5709-N3-OS,2
90-5714-14-DS,2
90-5714-14-OS,1
90-5714-14-OU,4
90-5715-14-DS,7
90-5715-14-OS,27
90-5716-14-DS,2
90-5716-N3-OS,7
90-5922-14-OU,10
90-5922-60-OU,2
90-5922-60-RU,1
90-5922-DL-OU,1
90-5923-14-OU,9
90-5923-14-RU,1
90-5923-60-OU,1
90-5923-DL-OU,2
90-5924-14-OU,2
90-5924-DL-OU,2
90-5926-60-OU,1
90-5927-60-RU,1
90-6152-14-OS,35
90-6153-14-OS,1
90-6153-14-OU,4
90-6155-14-OS,8
90-6155-14-OU,2
90-6156-14-OS,1
90-6158-14-OS,1
90-6356-14-60,9
90-6357-14-14,3
90-6357-14-60,28
90-6367-60-14,1
90-6367-60-OE,2
90-6370-14-OE,1
90-6372-60-OE,1
90-6374-14-OE,6
90-6375-60-14,12
90-6382-14-60,4
90-6384-14-60,4
90-6385-14-14,0
90-6385-60-60,1
90-6387-14-60,2
90-6393-60-14,53
90-6692-14-14,3
90-6693-14-14,7
90-6693-14-60,26
90-6695-14-60,3
90-6696-14-60,1
90-7360-60-00,52
90-7408-14-00,41
90-7434-14-00,81
90-7494-14-00,6
90-7682-21-21,330
90-7682-81-81,311
90-8001-14-DS,299
90-8002-14-OS,291
90-8013-14-00,63
90-8080-60-00,173
90-8105-14-WR,322
90-8205-14-DS,1
90-8206-14-DS,3
90-A031-14-00,70
90-A035-14-DS,592
90-A037-14-DS,0
90-A046-H2-OS,1
90-A048-H2-DS,10
90-A055-H2-DS,3
90-A056-G7-OS,6
90-A056-H2-OS,37
90-A088-G7-OS,5
90-A088-H2-OS,9
90-A089-G7-OS,48
90-A089-H2-OS,48
90-A090-G7-OS,15
90-A090-H2-OS,37
